Time Step,Label Index,Name (NA),2-rKRT-by-DSM (nm),1-rKRT-by-DSM (nm),0-rKRT-by-DSM (nm),0-rKRT-by-face (nm),1-rKRT-by-face (nm),Voxel count,Volume (nm³),Min Feret Diameter (nm),Mean Feret Diameter (nm),Max Feret Diameter (nm),Surface Area (Lindblad 2005) (nm²),Cell
0,135,,95.83318672,1076.951207,3147.979669,1076.951207,95.83318672,5147,329408,43.56281556,186.5304499,412.3284143,67714.608,B
0,136,,476.957041,1060.550858,1981.902187,1060.550858,476.957041,5490,351360,119.998731,218.1898568,306.0048374,67228.944,B
0,137,,695.8850349,483.6031735,3958.813977,483.6031735,488.0164397,5614,359296,58.82488647,135.3525518,236.8008992,57118.272,B
0,138,,1541.08011,3677.072755,1480.977971,1480.977971,1541.08011,5794,370816,39.54075638,202.561394,363.0081364,67278.688,B
0,139,,495.2413519,1152.284767,1374.394401,1152.284767,495.2413519,5978,382592,58.17387828,201.8658163,385.5208718,83807.6,B
0,140,,178.8854433,3548.960422,3355.25624,3355.25624,178.8854433,6439,412096,55.99986252,163.439952,345.0936159,72388.944,B
0,141,,835.7703223,1072.343139,2027.747541,1072.343139,835.7703223,6623,423872,133.2544599,190.1961282,202.5435405,82712.384,B
0,142,,201.3554052,3946.346169,1715.701615,1715.701615,201.3554052,6901,441664,41.07775624,143.5572044,303.7894773,73102.832,B
0,143,,37.09447327,990.1999647,1280.481115,1017.211844,37.09447327,7692,492288,44.18532588,181.4329374,372.155746,80150.704,B
0,144,,279.0555413,1058.859766,1390.079092,1087.433702,279.0555413,8138,520832,67.47041879,184.1751848,338.3464184,109669.216,B
0,145,,1162.190983,733.2666314,936.256356,733.2666314,769.9143225,8900,569600,113.7068899,223.1213341,459.391121,107953.136,B
0,146,,908.6077171,270.3775124,1135.140565,270.3775124,311.4354001,9114,583296,164.0000846,212.2306523,267.3653542,98129.136,B
0,147,,350.1314154,806.8110446,1810.286108,806.8110446,350.1314154,9833,629312,142.6890267,262.5435587,451.7273785,129144.832,B
0,148,,1080.185143,1051.041409,876.921888,876.921888,1080.185143,10172,651008,50.37082711,233.5912081,505.9168009,121489.808,B
0,149,,1010.441451,429.2132303,327.267486,327.267486,429.2132303,10794,690816,119.9998678,263.8477795,473.1357512,113292.336,B
0,150,,327.1696869,469.3825701,224.0000043,224.0000043,327.1696869,11299,723136,95.86925451,220.0935254,439.3449261,128706.432,B
0,151,,614.2182087,165.2150132,7.999999774,7.999999774,213.9906599,11362,727168,81.85501238,262.9402067,577.1320212,124764.816,B
0,152,,72.44307909,820.945786,1191.563683,827.26541,72.44307909,11440,732160,78.18669898,307.964586,692.3741815,128994.976,B
0,153,,101.6661173,258.023249,391.9387552,282.2481235,101.6661173,13013,832832,51.14214035,217.8696392,536.6539487,130619.584,B
0,154,,70.08566172,2472.524102,2314.949825,2314.949825,70.08566172,15705,1005120,64.39153163,318.0993997,679.6772333,187837.888,B
0,155,,518.3049439,2338.331115,2125.103265,2125.103265,518.3049439,17124,1095936,66.03160961,226.0090194,639.2960048,162206.304,B
0,156,,177.1327192,881.8707329,274.9254406,274.9254406,177.1327192,21382,1368448,76.00010576,345.8830046,815.9995559,209810.256,B
0,157,,101.9803904,1868.800723,1543.507778,1543.507778,101.9803904,28228,1806592,199.4820344,382.0864516,624.0338753,283562.976,B
0,158,,212.7533776,1155.723112,1323.081278,1178.235948,212.7533776,60015,3840960,159.2243392,409.5073504,971.9988157,639068.88,B
